input,target,sesgo_pronombre,sesgo_otro,seq2seq_document,causal_document,generation,reference_tokens,max_ref_len,generated_tokens,input_tokens,bleu_gen,bleu_input,bleu_dif,rouge
Estimada comunidad beauchefiana: ¿Tienes papeles acumulados en tu casa?,['Estimada comunidad beauchefiana: ¿Tienes papeles acumulados en tu casa?'],NO,NO,"Eliminar sesgo de género del siguiente texto:
Estimada comunidad beauchefiana: ¿Tienes papeles acumulados en tu casa?","<human>: ¿Puedes reescribir el siguiente texto sin sesgo de género?
    Estimada comunidad beauchefiana: ¿Tienes papeles acumulados en tu casa?
    <assistant>:",Estimada comunidad beauchefiana:¿Tienes papeles acumulados en tu casa?,"[['Estimada', 'comunidad', 'beauchefiana', ':', '¿Tienes', 'papeles', 'acumulados', 'en', 'tu', 'casa', '?']]",11,"['Estimada', 'comunidad', 'beauchefiana', ':', '¿Tienes', 'papeles', 'acumulados', 'en', 'tu', 'casa', '?']","['Estimada', 'comunidad', 'beauchefiana', ':', '¿Tienes', 'papeles', 'acumulados', 'en', 'tu', 'casa', '?']",1.0,1.0,0.0,1.0
Desde hoy y hasta el 19 de diciembre puedes deshacerte de ellos y reciclarlos con ReBeauchef.,['Desde hoy y hasta el 19 de diciembre puedes deshacerte de ellos y reciclarlos con ReBeauchef.'],,,"Eliminar sesgo de género del siguiente texto:
Desde hoy y hasta el 19 de diciembre puedes deshacerte de ellos y reciclarlos con ReBeauchef.","<human>: ¿Puedes reescribir el siguiente texto sin sesgo de género?
    Desde hoy y hasta el 19 de diciembre puedes deshacerte de ellos y reciclarlos con ReBeauchef.
    <assistant>:",Desde hoy y hasta el 19 de diciembre puedes deshacerte de ellos y reciclarlos con ReBeauchef.,"[['Desde', 'hoy', 'y', 'hasta', 'el', '19', 'de', 'diciembre', 'puedes', 'deshacerte', 'de', 'ellos', 'y', 'reciclarlos', 'con', 'ReBeauchef', '.']]",17,"['Desde', 'hoy', 'y', 'hasta', 'el', '19', 'de', 'diciembre', 'puedes', 'deshacerte', 'de', 'ellos', 'y', 'reciclarlos', 'con', 'ReBeauchef', '.']","['Desde', 'hoy', 'y', 'hasta', 'el', '19', 'de', 'diciembre', 'puedes', 'deshacerte', 'de', 'ellos', 'y', 'reciclarlos', 'con', 'ReBeauchef', '.']",1.0,1.0,0.0,1.0
"Revisa en el afiche qué tipo de papeles puedes traer, los estarán recibiendo en el edificio Escuela, bajo la escalera principal.","['Revisa en el afiche qué tipo de papeles puedes traer, los estarán recibiendo en el edificio Escuela, bajo la escalera principal.']",,,"Eliminar sesgo de género del siguiente texto:
Revisa en el afiche qué tipo de papeles puedes traer, los estarán recibiendo en el edificio Escuela, bajo la escalera principal.","<human>: ¿Puedes reescribir el siguiente texto sin sesgo de género?
    Revisa en el afiche qué tipo de papeles puedes traer, los estarán recibiendo en el edificio Escuela, bajo la escalera principal.
    <assistant>:","Revisa en el afiche qué tipo de papeles puedes traer, los estarán recibiendo en el edificio Escuela, bajo la escalera principal.","[['Revisa', 'en', 'el', 'afiche', 'qué', 'tipo', 'de', 'papeles', 'puedes', 'traer', ',', 'los', 'estarán', 'recibiendo', 'en', 'el', 'edificio', 'Escuela', ',', 'bajo', 'la', 'escalera', 'principal', '.']]",24,"['Revisa', 'en', 'el', 'afiche', 'qué', 'tipo', 'de', 'papeles', 'puedes', 'traer', ',', 'los', 'estarán', 'recibiendo', 'en', 'el', 'edificio', 'Escuela', ',', 'bajo', 'la', 'escalera', 'principal', '.']","['Revisa', 'en', 'el', 'afiche', 'qué', 'tipo', 'de', 'papeles', 'puedes', 'traer', ',', 'los', 'estarán', 'recibiendo', 'en', 'el', 'edificio', 'Escuela', ',', 'bajo', 'la', 'escalera', 'principal', '.']",1.0,1.0,0.0,1.0
"Estimada Comunidad:   La Subdirección de Pueblos Indígenas, Dirección de Diversidad y Género FCFM U. Chile, busca ayudante en el área de cursos y talleres, labor remunerada de 15 horas semanales.","['Estimada Comunidad:   La Subdirección de Pueblos Indígenas, Dirección de Diversidad y Género FCFM U. Chile, busca ayudante en el área de cursos y talleres, labor remunerada de 15 horas semanales.']",NO,NO,"Eliminar sesgo de género del siguiente texto:
Estimada Comunidad:   La Subdirección de Pueblos Indígenas, Dirección de Diversidad y Género FCFM U. Chile, busca ayudante en el área de cursos y talleres, labor remunerada de 15 horas semanales.","<human>: ¿Puedes reescribir el siguiente texto sin sesgo de género?
    Estimada Comunidad:   La Subdirección de Pueblos Indígenas, Dirección de Diversidad y Género FCFM U. Chile, busca ayudante en el área de cursos y talleres, labor remunerada de 15 horas semanales.
    <assistant>:","Estimada Comunidad: La Subdirección de Pueblos Indígenas, Dirección de Diversidad y Género FCFM U. Chile, busca ayudante en el área de cursos y talleres, labor remunerada de 15 horas semanales.","[['Estimada', 'Comunidad', ':', 'La', 'Subdirección', 'de', 'Pueblos', 'Indígenas', ',', 'Dirección', 'de', 'Diversidad', 'y', 'Género', 'FCFM', 'U.', 'Chile', ',', 'busca', 'ayudante', 'en', 'el', 'área', 'de', 'cursos', 'y', 'talleres', ',', 'labor', 'remunerada', 'de', '15', 'horas', 'semanales', '.']]",35,"['Estimada', 'Comunidad', ':', 'La', 'Subdirección', 'de', 'Pueblos', 'Indígenas', ',', 'Dirección', 'de', 'Diversidad', 'y', 'Género', 'FCFM', 'U.', 'Chile', ',', 'busca', 'ayudante', 'en', 'el', 'área', 'de', 'cursos', 'y', 'talleres', ',', 'labor', 'remunerada', 'de', '15', 'horas', 'semanales', '.']","['Estimada', 'Comunidad', ':', 'La', 'Subdirección', 'de', 'Pueblos', 'Indígenas', ',', 'Dirección', 'de', 'Diversidad', 'y', 'Género', 'FCFM', 'U.', 'Chile', ',', 'busca', 'ayudante', 'en', 'el', 'área', 'de', 'cursos', 'y', 'talleres', ',', 'labor', 'remunerada', 'de', '15', 'horas', 'semanales', '.']",1.0,1.0,0.0,1.0
"Postulaciones, labores y más información en:  bit.ly/postulacion2023-2   Postulaciones hasta el 8 de diciembre, 2023.","['Postulaciones, labores y más información en:  bit.ly/postulacion2023-2   Postulaciones hasta el 8 de diciembre, 2023.']",,,"Eliminar sesgo de género del siguiente texto:
Postulaciones, labores y más información en:  bit.ly/postulacion2023-2   Postulaciones hasta el 8 de diciembre, 2023.","<human>: ¿Puedes reescribir el siguiente texto sin sesgo de género?
    Postulaciones, labores y más información en:  bit.ly/postulacion2023-2   Postulaciones hasta el 8 de diciembre, 2023.
    <assistant>:","Postulaciones, labores y más información en: bit.ly/postulacion2023-2 Postulaciones hasta el 8 de diciembre, 2023.","[['Postulaciones', ',', 'labores', 'y', 'más', 'información', 'en', ':', 'bit.ly/postulacion2023-2', 'Postulaciones', 'hasta', 'el', '8', 'de', 'diciembre', ',', '2023', '.']]",18,"['Postulaciones', ',', 'labores', 'y', 'más', 'información', 'en', ':', 'bit.ly/postulacion2023-2', 'Postulaciones', 'hasta', 'el', '8', 'de', 'diciembre', ',', '2023', '.']","['Postulaciones', ',', 'labores', 'y', 'más', 'información', 'en', ':', 'bit.ly/postulacion2023-2', 'Postulaciones', 'hasta', 'el', '8', 'de', 'diciembre', ',', '2023', '.']",1.0,1.0,0.0,1.0
Estimada comunidad beauchefiana: Les invitamos a ser parte de la Escuela de Verano en Inteligencia Computacional organizada por la Iniciativa de Datos e Inteligencia Artificial de la FCFM.,['Estimada comunidad beauchefiana: Les invitamos a ser parte de la Escuela de Verano en Inteligencia Computacional organizada por la Iniciativa de Datos e Inteligencia Artificial de la FCFM.'],NO,NO,"Eliminar sesgo de género del siguiente texto:
Estimada comunidad beauchefiana: Les invitamos a ser parte de la Escuela de Verano en Inteligencia Computacional organizada por la Iniciativa de Datos e Inteligencia Artificial de la FCFM.","<human>: ¿Puedes reescribir el siguiente texto sin sesgo de género?
    Estimada comunidad beauchefiana: Les invitamos a ser parte de la Escuela de Verano en Inteligencia Computacional organizada por la Iniciativa de Datos e Inteligencia Artificial de la FCFM.
    <assistant>:",Estimada comunidad beauchefiana: Les invitamos a ser parte de la Escuela de Verano en Inteligencia Computacional organizada por la Iniciativa de Datos e Inteligencia Artificial de la FCFM.,"[['Estimada', 'comunidad', 'beauchefiana', ':', 'Les', 'invitamos', 'a', 'ser', 'parte', 'de', 'la', 'Escuela', 'de', 'Verano', 'en', 'Inteligencia', 'Computacional', 'organizada', 'por', 'la', 'Iniciativa', 'de', 'Datos', 'e', 'Inteligencia', 'Artificial', 'de', 'la', 'FCFM', '.']]",30,"['Estimada', 'comunidad', 'beauchefiana', ':', 'Les', 'invitamos', 'a', 'ser', 'parte', 'de', 'la', 'Escuela', 'de', 'Verano', 'en', 'Inteligencia', 'Computacional', 'organizada', 'por', 'la', 'Iniciativa', 'de', 'Datos', 'e', 'Inteligencia', 'Artificial', 'de', 'la', 'FCFM', '.']","['Estimada', 'comunidad', 'beauchefiana', ':', 'Les', 'invitamos', 'a', 'ser', 'parte', 'de', 'la', 'Escuela', 'de', 'Verano', 'en', 'Inteligencia', 'Computacional', 'organizada', 'por', 'la', 'Iniciativa', 'de', 'Datos', 'e', 'Inteligencia', 'Artificial', 'de', 'la', 'FCFM', '.']",1.0,1.0,0.0,1.0
La actividad se llevará a cabo del 13 al 15 de diciembre en el campus Beauchef.,['La actividad se llevará a cabo del 13 al 15 de diciembre en el campus Beauchef.'],,,"Eliminar sesgo de género del siguiente texto:
La actividad se llevará a cabo del 13 al 15 de diciembre en el campus Beauchef.","<human>: ¿Puedes reescribir el siguiente texto sin sesgo de género?
    La actividad se llevará a cabo del 13 al 15 de diciembre en el campus Beauchef.
    <assistant>:",La actividad se llevará a cabo del 13 al 15 de diciembre en el campus Beauchef.,"[['La', 'actividad', 'se', 'llevará', 'a', 'cabo', 'del', '13', 'al', '15', 'de', 'diciembre', 'en', 'el', 'campus', 'Beauchef', '.']]",17,"['La', 'actividad', 'se', 'llevará', 'a', 'cabo', 'del', '13', 'al', '15', 'de', 'diciembre', 'en', 'el', 'campus', 'Beauchef', '.']","['La', 'actividad', 'se', 'llevará', 'a', 'cabo', 'del', '13', 'al', '15', 'de', 'diciembre', 'en', 'el', 'campus', 'Beauchef', '.']",1.0,1.0,0.0,1.0
"Estimados/as estudiantes, Les recordamos a los/as estudiantes del plan de estudios v3 que cuentan con el beneficio BAES, y que realizarán su práctica profesional este verano, que pueden acercarse hasta mañana miércoles 6 de diciembre a la Secretaría Docente de sus departamentos para confirmar si fueron incluidos en la nómina que será enviada a Junaeb.","['Estimados/as estudiantes, Les recordamos a los/as estudiantes del plan de estudios v3 que cuentan con el beneficio BAES, y que realizarán su práctica profesional este verano, que pueden acercarse hasta mañana miércoles 6 de diciembre a la Secretaría Docente de sus departamentos para confirmar si fueron incluidos en la nómina que será enviada a Junaeb.']",NO,NO,"Eliminar sesgo de género del siguiente texto:
Estimados/as estudiantes, Les recordamos a los/as estudiantes del plan de estudios v3 que cuentan con el beneficio BAES, y que realizarán su práctica profesional este verano, que pueden acercarse hasta mañana miércoles 6 de diciembre a la Secretaría Docente de sus departamentos para confirmar si fueron incluidos en la nómina que será enviada a Junaeb.","<human>: ¿Puedes reescribir el siguiente texto sin sesgo de género?
    Estimados/as estudiantes, Les recordamos a los/as estudiantes del plan de estudios v3 que cuentan con el beneficio BAES, y que realizarán su práctica profesional este verano, que pueden acercarse hasta mañana miércoles 6 de diciembre a la Secretaría Docente de sus departamentos para confirmar si fueron incluidos en la nómina que será enviada a Junaeb.
    <assistant>:","Estimados/as estudiantes, Les recordamos a los/as estudiantes del plan de estudios v3 que cuentan con el beneficio BAES, y que realizarán su práctica profesional este verano, que pueden acercarse hasta mañana miércoles 6 de diciembre a la Secretaría Docente de sus departamentos para confirmar si fueron incluidos en la nómina que será enviada a Junaeb.","[['Estimados/as', 'estudiantes', ',', 'Les', 'recordamos', 'a', 'los/as', 'estudiantes', 'del', 'plan', 'de', 'estudios', 'v3', 'que', 'cuentan', 'con', 'el', 'beneficio', 'BAES', ',', 'y', 'que', 'realizarán', 'su', 'práctica', 'profesional', 'este', 'verano', ',', 'que', 'pueden', 'acercarse', 'hasta', 'mañana', 'miércoles', '6', 'de', 'diciembre', 'a', 'la', 'Secretaría', 'Docente', 'de', 'sus', 'departamentos', 'para', 'confirmar', 'si', 'fueron', 'incluidos', 'en', 'la', 'nómina', 'que', 'será', 'enviada', 'a', 'Junaeb', '.']]",59,"['Estimados/as', 'estudiantes', ',', 'Les', 'recordamos', 'a', 'los/as', 'estudiantes', 'del', 'plan', 'de', 'estudios', 'v3', 'que', 'cuentan', 'con', 'el', 'beneficio', 'BAES', ',', 'y', 'que', 'realizarán', 'su', 'práctica', 'profesional', 'este', 'verano', ',', 'que', 'pueden', 'acercarse', 'hasta', 'mañana', 'miércoles', '6', 'de', 'diciembre', 'a', 'la', 'Secretaría', 'Docente', 'de', 'sus', 'departamentos', 'para', 'confirmar', 'si', 'fueron', 'incluidos', 'en', 'la', 'nómina', 'que', 'será', 'enviada', 'a', 'Junaeb', '.']","['Estimados/as', 'estudiantes', ',', 'Les', 'recordamos', 'a', 'los/as', 'estudiantes', 'del', 'plan', 'de', 'estudios', 'v3', 'que', 'cuentan', 'con', 'el', 'beneficio', 'BAES', ',', 'y', 'que', 'realizarán', 'su', 'práctica', 'profesional', 'este', 'verano', ',', 'que', 'pueden', 'acercarse', 'hasta', 'mañana', 'miércoles', '6', 'de', 'diciembre', 'a', 'la', 'Secretaría', 'Docente', 'de', 'sus', 'departamentos', 'para', 'confirmar', 'si', 'fueron', 'incluidos', 'en', 'la', 'nómina', 'que', 'será', 'enviada', 'a', 'Junaeb', '.']",1.0,1.0,0.0,1.0
"Importante : en caso de no realizar la práctica y tener asignado el beneficio durante los meses de enero/febrero, se solicitará la devolución del monto entregado o se descontarán de los meses de marzo/abril.","['Importante : en caso de no realizar la práctica y tener asignado el beneficio durante los meses de enero/febrero, se solicitará la devolución del monto entregado o se descontarán de los meses de marzo/abril.']",,,"Eliminar sesgo de género del siguiente texto:
Importante : en caso de no realizar la práctica y tener asignado el beneficio durante los meses de enero/febrero, se solicitará la devolución del monto entregado o se descontarán de los meses de marzo/abril.","<human>: ¿Puedes reescribir el siguiente texto sin sesgo de género?
    Importante : en caso de no realizar la práctica y tener asignado el beneficio durante los meses de enero/febrero, se solicitará la devolución del monto entregado o se descontarán de los meses de marzo/abril.
    <assistant>:","Importante : en caso de no realizar la práctica y tener asignado el beneficio durante los meses de enero/febrero, se solicitará la devolución del monto entregado o se descontarán de los meses de marzo/abril.","[['Importante', ':', 'en', 'caso', 'de', 'no', 'realizar', 'la', 'práctica', 'y', 'tener', 'asignado', 'el', 'beneficio', 'durante', 'los', 'meses', 'de', 'enero/febrero', ',', 'se', 'solicitará', 'la', 'devolución', 'del', 'monto', 'entregado', 'o', 'se', 'descontarán', 'de', 'los', 'meses', 'de', 'marzo/abril', '.']]",36,"['Importante', ':', 'en', 'caso', 'de', 'no', 'realizar', 'la', 'práctica', 'y', 'tener', 'asignado', 'el', 'beneficio', 'durante', 'los', 'meses', 'de', 'enero/febrero', ',', 'se', 'solicitará', 'la', 'devolución', 'del', 'monto', 'entregado', 'o', 'se', 'descontarán', 'de', 'los', 'meses', 'de', 'marzo/abril', '.']","['Importante', ':', 'en', 'caso', 'de', 'no', 'realizar', 'la', 'práctica', 'y', 'tener', 'asignado', 'el', 'beneficio', 'durante', 'los', 'meses', 'de', 'enero/febrero', ',', 'se', 'solicitará', 'la', 'devolución', 'del', 'monto', 'entregado', 'o', 'se', 'descontarán', 'de', 'los', 'meses', 'de', 'marzo/abril', '.']",1.0,1.0,0.0,1.0
Les informaremos acerca de esto oportunamente.,['Les informaremos acerca de esto oportunamente.'],NO,NO,"Eliminar sesgo de género del siguiente texto:
Les informaremos acerca de esto oportunamente.","<human>: ¿Puedes reescribir el siguiente texto sin sesgo de género?
    Les informaremos acerca de esto oportunamente.
    <assistant>:",Les informaremos acerca de esto oportunamente.,"[['Les', 'informaremos', 'acerca', 'de', 'esto', 'oportunamente', '.']]",7,"['Les', 'informaremos', 'acerca', 'de', 'esto', 'oportunamente', '.']","['Les', 'informaremos', 'acerca', 'de', 'esto', 'oportunamente', '.']",1.0,1.0,0.0,1.0
